"","plot","ba.jp","ba.sp","s.ha.jp","s.ha.bs","SH.jp","SH.sp","LH.jp","LH.sp","sLCBH.jp","sLCBH.alt","LLCBH.jp","LLCBH.com","sLCBH.com","BA.total","FSG.LH","FSG.ST","ba.perc","dbh.jp","dbh.sp"
"1",1,32.6977975732442,2.43573388591624,2075.6,691.9,15.719037682031,5.82721026009288,16.9758057798746,9.28342248170562,10.3663786262747,10.6277544326561,11.1951910644918,10.4537159491191,9.68236333509246,35.1335314591605,1.91176858278614,4.53916836618179,0.930672101984751,13.4358142223935,5.67397600809366
"2",2,28.3217856035886,4.02331591818845,2223.8,1210.8,15.4114830940388,6.3829985724088,16.4646705358784,8.02196247645429,10.1635527681104,10.2843902971179,10.8581079951793,9.5696921665487,8.96153070452169,32.345101521777,2.83614551872497,3.78055419570159,0.875612821450578,12.1822322151273,6.0209514370664
"3",3,41.6467582045055,2.80945950727917,2841.6,765.9,15.4683387878731,6.11352968903316,16.5951049697674,8.71637619766989,10.201047916431,10.5417723059698,10.9441267932093,10.2840987290892,9.5879795380979,44.4562177117847,2.22775059553939,4.08751822739786,0.936803901638838,13.0298902027027,5.99172737955347
"4",4,32.080997025973,3.58024549492624,1877.8,988.4,16.4210278319055,6.02480452335597,17.1196735668626,9.14356129632862,10.8293265390361,11.0422180980514,11.2900688796742,10.2067893087574,9.79230364827922,35.6612425208993,2.14650758334556,4.80452201568017,0.899604017083027,14.3016764298647,5.85943342776204
"5",5,33.1051117963568,2.91896718364418,2199.2,1037.8,15.9021236889069,5.60626478385254,16.9155240044015,8.29750701001491,10.4871200423104,10.6470071665797,11.1554364865425,10.2920453794752,9.67788143058068,36.024078980001,2.85792947652754,4.8808552584579,0.918971774815821,13.252015278283,5.24541144729235
"6",6,31.3128088087248,1.24477536262013,1902.7,420.1,15.8280052916656,5.74268237424451,16.795654312318,7.7569624299423,10.4382404999035,10.847396485098,11.0763849161418,10.6720175865538,10.0582713702233,32.557584171345,3.31942248619945,4.69555812565896,0.961766961698722,13.8946717822042,5.5479552487503
"7",7,28.8012750779176,4.93655594188082,2149.8,939,15.2916135679801,7.22499604194046,16.4199277007635,9.53596460741181,10.0845013071996,10.3574629681848,10.8286010254145,9.31730894699355,8.68208670472393,33.7378310197984,1.2926364180027,2.8595052652591,0.85367891791906,12.4542785375384,7.32847710330138
"8",8,30.5836310292261,7.276548811502,1877.8,1013.1,15.9024361640552,7.76054708267286,16.9681950075797,10.9150282082527,10.4873261131758,10.7833537727138,11.1901719183555,9.13557106610115,8.56780892480966,37.8601798407281,0.275143710102745,2.72677903050299,0.807804695009022,13.7495409521781,8.32570920935742
"9",9,26.1289217112086,3.94516405084232,1927.4,1433,15.8853519379936,5.81170932915505,16.8466888916498,8.00032569023446,10.4760594211892,10.4510997233812,11.1100411604417,9.71819991561318,9.16738485967664,30.074085762051,3.10971547020721,4.66435009203412,0.868818487715409,12.6268050223098,5.30459176552687
"10",10,29.9429149193838,7.06069083478705,1631,1284.9,16.7463025348541,6.82610339183476,17.4471699034712,10.8312687773929,11.0438384446961,11.1800565841137,11.5060459065556,9.40597252516892,9.03195927906777,37.0036057541709,0.674777129162775,4.21773505286134,0.809189113036878,14.8387247087676,6.99797960930812
"11",11,28.5397947418908,4.6391811253621,1877.9,1877.9,16.571466936513,5.3980218280405,17.3787965516656,8.25639067710143,10.9285380016018,10.7520838998414,11.460955102201,9.92836240767299,9.47038941812178,33.1789758672529,3.20456442509955,5.5305161735613,0.860177084912953,13.4601331274296,4.80195111560786
"12",12,28.7342938595344,5.25606084076818,2100.2,1853.2,16.054376947855,5.54563260524019,16.9658750976481,9.11728094124596,10.587527901956,10.4924794438349,11.1886419859756,9.53581567454625,9.02765420092765,33.9903547003026,2.07136104472966,5.0418952967158,0.845366107911743,12.7014531949338,5.03986186056551
